Epoch,Train_Loss,Test_Acc,Test_F1,Train_Acc,Eval_Loss,Eval_Acc
0,0.65,70.33,67.75,61.63,0.6,70.83
1,0.59,72.42,74.08,70.05,0.57,72.75
2,0.57,72.75,77.05,71.65,0.57,74.83
3,0.53,78.33,79.1,75.02,0.48,80.08
4,0.49,80.58,80.37,78.08,0.5,81.0
5,0.43,83.58,83.97,81.89,0.44,83.58
6,0.36,86.0,85.47,84.87,0.53,85.17
7,0.32,88.08,88.13,87.08,0.49,86.75
8,0.28,86.5,85.84,89.13,0.53,87.33
9,0.24,86.75,85.92,91.17,0.5,86.58
10,0.2,88.25,88.1,92.85,0.42,87.0
11,0.18,88.33,87.95,93.49,0.54,89.08
12,0.16,89.17,88.54,94.17,0.49,88.33
13,0.14,90.08,89.92,94.84,0.5,89.42
14,0.13,89.0,88.93,95.44,0.57,87.42
15,0.11,88.5,88.23,96.28,0.67,88.25
16,0.1,89.58,89.61,96.54,0.51,89.08
17,0.1,90.08,90.11,96.59,0.53,90.17
18,0.08,88.83,88.55,96.98,0.57,89.92
19,0.09,89.75,89.51,96.92,0.49,90.25
20,0.07,90.0,89.85,97.57,0.51,90.58
21,0.07,88.92,88.38,97.82,0.63,89.17
22,0.07,89.75,89.66,97.54,0.52,90.75
23,0.06,89.08,88.87,97.85,0.58,89.33
24,0.06,88.33,88.16,98.09,0.62,88.17
25,0.06,87.83,87.65,98.01,0.55,89.25
26,0.06,88.42,88.11,97.96,0.55,89.25
27,0.04,87.92,87.31,98.55,0.71,88.5
28,0.05,88.67,88.65,98.36,0.64,89.5
29,0.05,88.33,88.35,98.51,0.6,89.17
30,0.04,89.0,88.76,98.59,0.61,88.92
31,0.04,89.0,88.91,98.59,0.54,89.75
Max,,90.08,90.11,,,90.75
Param:,0.17M,Flops:,0.03G
